id,title,frequency,units,popularity
FEDFUNDS,Federal Funds Effective Rate,Monthly,Percent,98
CSUSHPINSA,S&P CoreLogic Case-Shiller U.S. National Home Price Index,Monthly,Index Jan 2000=100,88
REAINTRATREARAT10Y,10-Year Real Interest Rate,Monthly,Percent,80
AAA,Moody's Seasoned Aaa Corporate Bond Yield,Monthly,Percent,80
UMCSENT,University of Michigan: Consumer Sentiment,Monthly,Index 1966:Q1=100,80
TB3MS,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",Monthly,Percent,79
ACTLISCOUUS,Housing Inventory: Active Listing Count in the United States,Monthly,Level,78
PPIACO,Producer Price Index by Commodity: All Commodities,Monthly,Index 1982=100,78
BOGMBASE,Monetary Base; Total,Monthly,Millions of Dollars,78
APU0000708111,"Average Price: Eggs, Grade A, Large (Cost per Dozen) in U.S. City Average",Monthly,U.S. Dollars,76
WPU0911,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp",Monthly,Index 1982=100,75
CUUR0000SEHA,Consumer Price Index for All Urban Consumers: Rent of Primary Residence in U.S. City Average,Monthly,Index 1982-1984=100,75
PCU325211325211,Producer Price Index by Industry: Plastics Material and Resin Manufacturing,Monthly,Index Dec 1980=100,74
CPALTT01USM657N,Consumer Price Index: All Items: Total for United States,Monthly,Growth rate previous period,74
FIXHAI,Housing Affordability Index (Fixed),Monthly,Index,74
GS10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Monthly,Percent,74
CURRCIR,Currency in Circulation,Monthly,Billions of Dollars,74
TOTRESNS,Reserves of Depository Institutions: Total,Monthly,Billions of Dollars,74
RECPROUSM156N,Smoothed U.S. Recession Probabilities,Monthly,Percent,73
CPIAUCNS,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Monthly,Index 1982-1984=100,73
PCUOMFGOMFG,Producer Price Index by Industry: Total Manufacturing Industries,Monthly,Index Dec 1984=100,72
WPU101707,Producer Price Index by Commodity: Metals and Metal Products: Cold Rolled Steel Sheet and Strip,Monthly,Index Jun 1982=100,71
INTDSRUSM193N,"Interest Rates, Discount Rate for United States",Monthly,Percent per Annum,70
BAA,Moody's Seasoned Baa Corporate Bond Yield,Monthly,Percent,70
MICH,University of Michigan: Inflation Expectation,Monthly,Percent,69
CUUR0000SA0R,Consumer Price Index for All Urban Consumers: Purchasing Power of the Consumer Dollar in U.S. City Average,Monthly,Index 1982-1984=100,69
HOSINVUSM495N,Existing Home Sales: Housing Inventory,Monthly,Number of Units,69
USREC,NBER based Recession Indicators for the United States from the Period following the Peak through the Trough,Monthly,+1 or 0,69
TERMCBCCALLNS,"Commercial Bank Interest Rate on Credit Card Plans, All Accounts",Monthly,Percent,68
IRLTLT01USM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States,Monthly,Percent,68
APU0000703112,"Average Price: Ground Beef, 100% Beef (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,68
APU0000702111,"Average Price: Bread, White, Pan (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,68
WPU10170502,"Producer Price Index by Commodity: Metals and Metal Products: Steel Wire, Stainless Steel",Monthly,Index Dec 2010=100,68
MSPNHSUS,Median Sales Price for New Houses Sold in the United States,Monthly,Dollars,67
EXPINF10YR,10-Year Expected Inflation,Monthly,Percent,67
POPTHM,Population,Monthly,Thousands,67
PNGASJPUSDM,"Global price of LNG, Asia",Monthly,U.S. Dollars per Million Metric British Thermal Unit,67
ACTLISCOUFL,Housing Inventory: Active Listing Count in Florida,Monthly,Level,67
PURANUSDM,Global price of Uranium,Monthly,U.S. Dollars per Pound,67
APU000072610,Average Price: Electricity per Kilowatt-Hour in U.S. City Average,Monthly,U.S. Dollars,67
CUUR0000SETA01,Consumer Price Index for All Urban Consumers: New Vehicles in U.S. City Average,Monthly,Index 1982-1984=100,66
WTISPLC,Spot Crude Oil Price: West Texas Intermediate (WTI),Monthly,Dollars per Barrel,66
HOSMEDUSM052N,Median Sales Price of Existing Homes,Monthly,Dollars,66
APU0000FF1101,"Average Price: Chicken Breast, Boneless (Cost per Pound/453.6 Grams) in U.S. City Average",Monthly,U.S. Dollars,65
PCU32733273,Producer Price Index by Industry: Cement and Concrete Product Manufacturing,Monthly,Index Dec 2003=100,65
REAINTRATREARAT1YE,1-Year Real Interest Rate,Monthly,Percent,65
M2NS,M2,Monthly,Billions of Dollars,65
EXPINF1YR,1-Year Expected Inflation,Monthly,Percent,65
POLVOILUSDM,Global price of Olive Oil,Monthly,U.S. Dollars per Metric Ton,65
WPU061,Producer Price Index by Commodity: Chemicals and Allied Products: Industrial Chemicals,Monthly,Index 1982=100,64
MTSDS133FMS,Federal Surplus or Deficit [-],Monthly,Millions of Dollars,64
PWHEAMTUSDM,Global price of Wheat,Monthly,U.S. Dollars per Metric Ton,64
PCU325325,Producer Price Index by Industry: Chemical Manufacturing,Monthly,Index Dec 1984=100,64
MEDDAYONMARUS,Housing Inventory: Median Days on Market in the United States,Monthly,Level,64
PCU4841214841212,"Producer Price Index by Industry: General Freight Trucking, Long-Distance Truckload: General Freight Trucking, Long-Distance, Truckload",Monthly,Index Jun 1992=100,64
PNRGINDEXM,Global price of Energy index,Monthly,Index 2016 = 100,63
WPUSI012011,Producer Price Index by Commodity: Special Indexes: Construction Materials,Monthly,Index 1982=100,63
SNDR,National Deposit Rates: Savings,Monthly,Percent,63
PNGASEUUSDM,"Global price of Natural gas, EU",Monthly,U.S. Dollars per Million Metric British Thermal Unit,63
PCOPPUSDM,Global price of Copper,Monthly,U.S. Dollars per Metric Ton,63
WPU10,Producer Price Index by Commodity: Metals and Metal Products,Monthly,Index 1982=100,63
WPU101,Producer Price Index by Commodity: Metals and Metal Products: Iron and Steel,Monthly,Index 1982=100,63
PCU484484,Producer Price Index by Industry: Truck Transportation,Monthly,Index Dec 2003=100,63
WPU091405,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Corrugated Paperboard in Sheets and Rolls, Lined and Unlined",Monthly,Index 1982=100,63
APU0000709112,"Average Price: Milk, Fresh, Whole, Fortified (Cost per Gallon/3.8 Liters) in U.S. City Average",Monthly,U.S. Dollars,63
CREACBM027NBOG,"Real Estate Loans: Commercial Real Estate Loans, All Commercial Banks",Monthly,Billions of U.S. Dollars,62
PCU484121484121,"Producer Price Index by Industry: General Freight Trucking, Long-Distance Truckload",Monthly,Index Dec 2003=100,62
HOSSUPUSM673N,Existing Home Sales: Months Supply,Monthly,Months' Supply,62
TERMCBAUTO48NS,"Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 48 Month Loan",Monthly,Percent,62
PCU335311335311,Producer Price Index by Industry: Electric Power and Specialty Transformer Manufacturing,Monthly,Index Jun 1981=100,62
HQMCB10YR,10-Year High Quality Market (HQM) Corporate Bond Spot Rate,Monthly,Percent,62
PCU325510325510,Producer Price Index by Industry: Paint and Coating Manufacturing,Monthly,Index Jun 1983=100,62
PCU333132333132,Producer Price Index by Industry: Oil and Gas Field Machinery and Equipment Manufacturing,Monthly,Index Dec 1980=100,61
PCU311311,Producer Price Index by Industry: Food Manufacturing,Monthly,Index Dec 1984=100,61
PNICKUSDM,Global price of Nickel,Monthly,U.S. Dollars per Metric Ton,61
PALUMUSDM,Global price of Aluminum,Monthly,U.S. Dollars per Metric Ton,61
WPU1017,Producer Price Index by Commodity: Metals and Metal Products: Steel Mill Products,Monthly,Index 1982=100,61
PCU33443344,Producer Price Index by Industry: Semiconductor and Other Electronic Component Manufacturing,Monthly,Index Dec 1984=100,61
PCU325412325412,Producer Price Index by Industry: Pharmaceutical Preparation Manufacturing,Monthly,Index Jun 1981=100,61
PCU44414441,Producer Price Index by Industry: Building Material and Supplies Dealers,Monthly,Index Dec 2003=100,61
PCU483111483111,Producer Price Index by Industry: Deep Sea Freight Transportation,Monthly,Index Jun 1988=100,61
PPIIDC,Producer Price Index by Commodity: Industrial Commodities,Monthly,Index 1982=100,61
SEXRNSA,S&P CoreLogic Case-Shiller WA-Seattle Home Price Index,Monthly,Index Jan 2000=100,60
POILBREUSDM,Global price of Brent Crude,Monthly,U.S. Dollars per Barrel,60
WPU081,Producer Price Index by Commodity: Lumber and Wood Products: Lumber,Monthly,Index 1982=100,60
PCUATRNWRATRNWR,Producer Price Index by Industry: Transportation and Warehousing Industries,Monthly,Index Dec 2006=100,60
PCU335313335313,Producer Price Index by Industry: Switchgear and Switchboard Apparatus Manufacturing,Monthly,Index Jun 1985=100,60
WPU101211,Producer Price Index by Commodity: Metals and Metal Products: Carbon Steel Scrap,Monthly,Index Dec 1986=100,60
PCU332911332911,Producer Price Index by Industry: Industrial Valve Manufacturing,Monthly,Index Jun 1991=100,59
PCU331315331315,"Producer Price Index by Industry: Aluminum Sheet, Plate, and Foil Manufacturing",Monthly,Index Jun 1981=100,59
T30YIEM,30-year Breakeven Inflation Rate,Monthly,Percent,59
EXPINF30YR,30-Year Expected Inflation,Monthly,Percent,59
APU0000FN1101,Average Price: All Soft Drinks (Cost per 2 Liters/67.6 Ounces) in U.S. City Average,Monthly,U.S. Dollars,59
T10Y2YM,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,Monthly,Percent,59
USACPALTT01CTGYM,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",Monthly,"Contribution to growth rate, over 1 year",59
WPU08,Producer Price Index by Commodity: Lumber and Wood Products,Monthly,Index 1982=100,59
PCU333611333611,Producer Price Index by Industry: Turbine and Turbine Generator Set Units Manufacturing,Monthly,Index Jun 1982=100,59
USACPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",Monthly,Index 2015=100,59
WPU057303,Producer Price Index by Commodity: Fuels and Related Products and Power: No. 2 Diesel Fuel,Monthly,Index 1982=100,59
PCUARETTRARETTR,Producer Price Index by Industry: Total Retail Trade Industries,Monthly,Index Dec 2006=100,59
PCU3272132721,Producer Price Index by Industry: Glass and Glass Product Manufacturing,Monthly,Index Dec 2003=100,59
PCU336413336413,Producer Price Index by Industry: Other Aircraft Parts and Equipment Manufacturing,Monthly,Index Jun 1985=100,58
UNRATENSA,Unemployment Rate,Monthly,Percent,58
PCU336110336110,"Producer Price Index by Industry: Automobile, Light Truck and Utility Vehicle Manufacturing",Monthly,Index Jun 1982=100,58
PCU221122221122,Producer Price Index by Industry: Electric Power Distribution,Monthly,Index Dec 2003=100,58
